date,state,city,median_eighth_usd,price_sample
2026-07-26,MI,Iron Mountain,23.00,119
2026-07-26,MI,Menominee,24.00,167
2026-07-26,MI,Mackinaw City,24.00,60
2026-07-26,MI,Grawn,24.50,26
2026-07-26,MI,Battle Creek,25.00,263
2026-07-26,MI,New Buffalo,25.00,1255
2026-07-26,MI,Mt Morris,25.00,258
2026-07-26,MI,Utica,25.00,446
2026-07-26,MI,Traverse City,25.00,260
2026-07-26,MI,Adrian,25.00,102
2026-07-26,MI,Caspian,25.00,100
2026-07-26,MI,Port Huron,25.00,73
2026-07-26,MI,Berkley,25.00,147
2026-07-26,MI,Kalkaska,25.00,44
2026-07-26,MI,Quincy,25.00,19
2026-07-26,MI,Petersburg,27.00,75
2026-07-26,MI,Walled Lake,27.00,62
2026-07-26,MI,Southfield,28.50,70
2026-07-26,MI,Mt Clemens,30.00,163
2026-07-26,MI,Lincoln Park,30.00,55
2026-07-26,MI,Houghton Lake,30.00,45
2026-07-26,MI,Grand Haven,40.00,23
