date,state,city,median_eighth_usd,price_sample
2026-07-15,AZ,El Mirage,40.00,245
2026-07-15,AZ,Tucson,40.00,1137
2026-07-15,AZ,Apache Junction,40.00,243
2026-07-15,AZ,Flagstaff,40.00,80
2026-07-15,AZ,Glendale,40.00,474
2026-07-15,AZ,Tolleson,40.00,135
2026-07-15,AZ,Peoria,40.00,251
2026-07-15,AZ,Queen Creek,40.00,63
2026-07-15,AZ,Sedona,40.00,45
2026-07-15,AZ,Goodyear,42.50,19
2026-07-15,AZ,Mesa,45.00,885
2026-07-15,AZ,Tempe,45.00,447
2026-07-15,AZ,Chandler,45.00,373
2026-07-15,AZ,Scottsdale,45.00,423
2026-07-15,AZ,Lake Havasu City,45.00,45
2026-07-15,AZ,Avondale,45.00,221
2026-07-15,AZ,Bullhead City,45.00,110
2026-07-15,AZ,Guadalupe,45.00,129
2026-07-15,AZ,Prescott,45.50,74
2026-07-15,AZ,Bisbee,47.00,131
2026-07-15,AZ,Casa Grande,52.00,179
2026-07-15,AZ,Cottonwood,52.00,172
2026-07-15,MI,Lake Orion,15.00,67
2026-07-15,MI,Dowagiac,16.69,16
2026-07-15,MI,River Rouge,18.00,85
2026-07-15,MI,Nunica,18.00,47
2026-07-15,MI,Haslett,19.50,30
2026-07-15,MI,Portage,20.00,151
2026-07-15,MI,Cadillac,20.00,22
2026-07-15,MI,Manistee,20.00,25
2026-07-15,MI,Beulah,20.00,27
2026-07-15,MI,Detroit,20.00,1210
2026-07-15,MI,Big Rapids,20.00,62
2026-07-15,MI,Allegan,20.00,127
2026-07-15,MI,Cedar Springs,20.00,81
2026-07-15,MI,Mt Pleasant,20.00,75
2026-07-15,MI,Hazel Park,20.00,129
2026-07-15,MI,Constantine,20.00,53
2026-07-15,MI,Webberville,20.00,88
2026-07-15,MI,Grant,20.00,80
2026-07-15,MI,Bay City,20.00,139
2026-07-15,MI,Buchanan,20.00,126
2026-07-15,MI,East Lansing,20.00,167
2026-07-15,MI,Morenci,20.00,143
2026-07-15,MI,Iron Mountain,20.00,110
2026-07-15,MI,Mackinaw City,20.00,48
2026-07-15,MI,Negaunee,20.00,73
2026-07-15,MI,Garden City,20.00,218
2026-07-15,MI,Flint,20.00,27
2026-07-15,MI,White Cloud,20.00,27
2026-07-15,MI,Marquette,22.00,59
2026-07-15,MI,Berkley,22.00,153
2026-07-15,MI,Kalamazoo,22.50,636
2026-07-15,MI,Ferndale,22.99,192
2026-07-15,MI,Vassar,23.00,76
2026-07-15,MI,Petoskey,23.00,64
2026-07-15,MI,Petersburg,23.00,69
2026-07-15,MI,Saginaw,23.00,106
2026-07-15,MI,Walled Lake,23.00,55
2026-07-15,MI,Center Line,24.00,446
2026-07-15,MI,Coldwater,24.50,334
2026-07-15,MI,Battle Creek,25.00,282
2026-07-15,MI,New Buffalo,25.00,1128
2026-07-15,MI,Monroe,25.00,1599
2026-07-15,MI,Mt Morris,25.00,228
2026-07-15,MI,Camden,25.00,162
2026-07-15,MI,Grand Rapids,25.00,2032
2026-07-15,MI,Inkster,25.00,283
2026-07-15,MI,Grawn,25.00,26
2026-07-15,MI,Caspian,25.00,88
2026-07-15,MI,Muskegon,25.00,427
2026-07-15,MI,Lowell,25.00,222
2026-07-15,MI,Three Rivers,25.00,77
2026-07-15,MI,Sturgis,25.00,105
2026-07-15,MI,Ann Arbor,25.00,337
2026-07-15,MI,Holly,25.00,110
2026-07-15,MI,Utica,25.00,457
2026-07-15,MI,Traverse City,25.00,255
2026-07-15,MI,Lansing,25.00,272
2026-07-15,MI,Hamtramck,25.00,257
2026-07-15,MI,Adrian,25.00,83
2026-07-15,MI,Saugatuck,25.00,74
2026-07-15,MI,Kalkaska,25.00,37
2026-07-15,MI,Quincy,25.00,19
2026-07-15,MI,Menominee,26.00,152
2026-07-15,MI,Niles,26.74,134
2026-07-15,MI,Southfield,27.00,62
2026-07-15,MI,Auburn Hills,30.00,343
2026-07-15,MI,Port Huron,30.00,67
2026-07-15,MI,Mt Clemens,30.00,147
2026-07-15,MI,Wayne,30.00,93
2026-07-15,MI,Lincoln Park,30.00,50
2026-07-15,MI,Houghton Lake,30.00,47
2026-07-15,MI,Grand Haven,40.00,23
2026-07-15,CO,Trinidad,18.33,194
2026-07-15,CO,Broomfield,18.51,68
2026-07-15,CO,Boulder,20.00,319
2026-07-15,CO,Westminster,20.00,19
2026-07-15,CO,Colorado Springs,20.15,266
2026-07-15,CO,Pueblo West,20.16,47
2026-07-15,CO,Louisville,20.99,43
2026-07-15,CO,Lakewood,22.47,117
2026-07-15,CO,Denver,23.67,2761
2026-07-15,CO,Englewood,23.69,75
2026-07-15,CO,Northglenn,24.00,167
2026-07-15,CO,Golden,24.44,98
2026-07-15,CO,Edgewater,24.49,180
2026-07-15,CO,Commerce City,25.00,30
2026-07-15,CO,Aurora,26.00,487
2026-07-15,CO,Pueblo,26.00,166
2026-07-15,CO,Littleton,27.64,40
2026-07-15,CO,Thornton,27.86,151
2026-07-15,CO,Fort Collins,28.00,67
2026-07-15,CO,Wheat Ridge,30.00,42
2026-07-15,CO,Federal Heights,30.50,30
