date,state,city,median_eighth_usd,price_sample
2026-07-15,OH,Warren,30.00,40
2026-07-15,OH,Parma,32.90,49
2026-07-15,OH,Solon,37.00,104
2026-07-15,OH,Wickliffe,37.00,73
2026-07-15,OH,Springdale,38.00,41
2026-07-15,OH,Toledo,38.80,50
2026-07-15,OH,Sycamore Twp,40.00,77
2026-07-15,OH,Piqua,40.00,142
2026-07-15,OH,Whitehall,40.00,50
2026-07-15,OH,Seven Hills,40.00,44
2026-07-15,OH,Columbus N Hamilton Rd,40.00,67
2026-07-15,OH,Bowling Green,40.00,25
2026-07-15,OH,Canton,40.50,100
2026-07-15,OH,Harrison,41.00,34
2026-07-15,OH,Norwood,41.00,37
2026-07-15,OH,Akron,41.06,208
2026-07-15,OH,Cincinnati,41.25,508
2026-07-15,OH,Cleveland Hts,42.00,46
2026-07-15,OH,Monroe,42.50,76
2026-07-15,OH,Columbus,43.00,995
2026-07-15,OH,Clayton,43.00,80
2026-07-15,OH,Mt Carmel,43.75,62
2026-07-15,OH,Euclid,44.00,84
2026-07-15,OH,Dayton,44.00,245
2026-07-15,OH,Milford,44.00,74
2026-07-15,OH,Willoughby Hills,44.00,69
2026-07-15,OH,Lorain 7420 Oak Point Rd,44.00,62
2026-07-15,OH,Westerville,44.00,89
2026-07-15,OH,Berea,44.00,61
2026-07-15,OH,Cleveland St Clair,44.00,26
2026-07-15,OH,Cleveland,44.00,32
2026-07-15,OH,London,44.00,36
2026-07-15,OH,South Euclid,44.50,54
2026-07-15,OH,Beavercreek,45.00,62
2026-07-15,OH,Painesville,45.50,119
2026-07-15,OH,Riverside,45.50,27
2026-07-15,OH,Springfield,46.00,28
2026-07-15,OH,Middletown,46.50,28
2026-07-15,OH,Garfield Hts,47.00,24
2026-07-15,AZ,Payson,30.00,91
2026-07-15,AZ,Cave Creek,31.00,31
2026-07-15,AZ,Sun City,32.71,87
2026-07-15,AZ,Prescott Valley,35.00,129
2026-07-15,AZ,Buckeye,35.00,37
2026-07-15,AZ,Surprise,35.00,47
2026-07-15,AZ,Safford,35.00,64
2026-07-15,AZ,Show Low,35.00,23
2026-07-15,AZ,Gilbert,35.00,84
2026-07-15,AZ,Kingman,38.00,121
2026-07-15,AZ,Phoenix,40.00,2730
